county,total,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
total,672990,478,361,495,105534,566122,0,0,0,0,0,0,0
Keelung,25573,2,0,101,6059,19411,0,0,0,0,0,0,0
Taipei,120215,24,26,35,21821,98309,0,0,0,0,0,0,0
New_Taipei,245041,19,87,114,38952,205869,0,0,0,0,0,0,0
Taoyuan,104606,304,127,64,16164,87947,0,0,0,0,0,0,0
Hsinchu,12758,5,4,61,1389,11299,0,0,0,0,0,0,0
Hsinchu_C,7483,6,0,5,954,6518,0,0,0,0,0,0,0
Miaoli,5558,0,14,0,562,4982,0,0,0,0,0,0,0
Taichung,37620,2,1,2,4647,32968,0,0,0,0,0,0,0
Changhua,8575,0,1,8,1067,7499,0,0,0,0,0,0,0
Nantou,3289,0,0,0,369,2920,0,0,0,0,0,0,0
Yunlin,5752,0,0,6,790,4956,0,0,0,0,0,0,0
Chiayi,2978,0,0,6,323,2649,0,0,0,0,0,0,0
Chiayi_C,2001,0,0,4,211,1786,0,0,0,0,0,0,0
Tainan,19693,4,8,23,1695,17963,0,0,0,0,0,0,0
Kaohsiung,31839,105,87,39,3396,28212,0,0,0,0,0,0,0
Pingtung,9541,1,3,0,1026,8511,0,0,0,0,0,0,0
Yilan,13765,6,3,5,2314,11437,0,0,0,0,0,0,0
Hualien,11947,0,0,4,3096,8847,0,0,0,0,0,0,0
Taitung,3449,0,0,17,546,2886,0,0,0,0,0,0,0
Penghu,691,0,0,0,47,644,0,0,0,0,0,0,0
Kinmen,441,0,0,1,71,369,0,0,0,0,0,0,0
Matsu,175,0,0,0,35,140,0,0,0,0,0,0,0
