date,airport,seaport,not_specified
2020-08-13,3747,63,0
2020-08-14,4646,36,0
2020-08-15,1010,46,0
2020-08-16,4783,108,0
2020-08-17,3053,32,0
2020-08-18,1874,68,0
2020-08-19,4254,22,0
2020-08-20,3872,120,0
2020-08-21,3841,52,0
2020-08-22,1091,103,0
2020-08-23,4371,50,0
2020-08-24,2452,50,0
2020-08-25,1842,53,0
2020-08-26,4274,128,0
2020-08-27,3553,44,0
2020-08-28,4236,100,0
2020-08-29,1520,13,0
2020-08-30,4618,48,0
2020-08-31,2825,48,0
2020-09-01,2734,142,0
2020-09-02,3778,54,0
2020-09-03,3184,44,0
2020-09-04,4650,60,0
2020-09-05,1138,62,0
2020-09-06,4298,29,0
2020-09-07,2728,60,0
2020-09-08,2432,101,0
2020-09-09,4401,218,0
2020-09-10,3940,64,0
2020-09-11,4171,189,0
2020-09-12,1251,39,0
2020-09-13,4230,21,0
2020-09-14,3108,57,0
2020-09-15,2911,104,0
2020-09-16,3826,80,0
2020-09-17,3286,148,0
2020-09-18,4349,129,0
2020-09-19,1253,175,0
2020-09-20,3838,15,0
2020-09-21,2717,69,0
2020-09-22,2104,114,0
2020-09-23,3525,50,0
2020-09-24,3132,90,0
2020-09-25,4320,86,0
2020-09-26,1560,54,0
2020-09-27,3711,17,0
2020-09-28,2493,39,0
2020-09-29,2134,27,0
2020-09-30,4497,115,0
2020-10-01,2347,32,0
2020-10-02,3212,83,0
2020-10-03,1117,52,0
2020-10-04,3525,95,0
2020-10-05,2659,24,0
2020-10-06,2066,66,0
2020-10-07,3944,39,0
2020-10-08,4029,99,0
2020-10-09,3344,74,0
2020-10-10,1775,16,0
2020-10-11,4895,23,0
2020-10-12,1643,52,0
2020-10-13,1516,40,0
2020-10-14,3207,102,0
2020-10-15,2917,132,0
2020-10-16,3865,60,0
2020-10-17,1724,120,0
2020-10-18,3518,20,0
2020-10-19,2280,56,0
2020-10-20,1803,76,0
2020-10-21,3037,121,0
2020-10-22,2647,216,0
2020-10-23,3713,73,0
2020-10-24,1222,71,0
2020-10-25,3422,21,0
2020-10-26,1755,99,0
2020-10-27,1733,182,0
2020-10-28,3300,73,0
2020-10-29,2390,110,0
2020-10-30,3893,111,0
2020-10-31,1418,25,0
2020-11-01,3826,76,0
2020-11-02,2260,138,0
2020-11-03,1730,43,0
2020-11-04,3688,95,0
2020-11-05,2673,60,2
2020-11-06,3460,42,0
2020-11-07,1521,15,0
2020-11-08,3820,106,0
2020-11-09,1760,67,0
2020-11-10,2026,56,0
2020-11-11,3271,46,0
2020-11-12,2227,133,0
2020-11-13,3843,79,0
2020-11-14,1747,52,0
2020-11-15,4357,24,0
2020-11-16,2379,56,0
2020-11-17,1666,67,0
2020-11-18,3671,134,0
2020-11-19,2405,219,0
2020-11-20,3568,131,0
2020-11-21,1621,41,0
2020-11-22,3606,24,0
2020-11-23,2057,62,0
2020-11-24,1958,88,0
2020-11-25,4066,39,0
2020-11-26,2900,150,0
2020-11-27,4773,82,0
2020-11-28,2622,84,0
2020-11-29,5703,43,0
2020-11-30,2740,160,0
2020-12-01,1920,58,0
2020-12-02,3071,143,0
2020-12-03,2089,226,0
2020-12-04,4073,77,0
2020-12-05,1711,40,0
2020-12-06,3841,62,0
2020-12-07,1878,88,0
2020-12-08,2010,115,0
2020-12-09,3130,85,0
2020-12-10,2774,178,0
2020-12-11,3911,141,13
2020-12-12,2108,194,0
2020-12-13,3743,49,0
2020-12-14,2333,66,0
2020-12-15,2020,161,0
2020-12-16,3255,111,0
2020-12-17,2497,200,0
2020-12-18,3220,221,0
2020-12-19,1630,50,0
2020-12-20,4024,68,0
2020-12-21,1637,100,0
2020-12-22,1626,107,0
2020-12-23,3304,68,0
2020-12-24,2125,66,0
2020-12-25,2730,152,0
2020-12-26,1313,73,0
2020-12-27,3077,39,0
2020-12-28,1764,80,0
2020-12-29,1832,106,0
2020-12-30,3600,239,0
2020-12-31,2392,95,0
