date,positive_rate
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,0.0
2020-01-17,0.0
2020-01-18,0.0
2020-01-19,0.0
2020-01-20,0.0
2020-01-21,0.05
2020-01-22,0.015625
2020-01-23,0.007692307692307693
2020-01-24,0.016042780748663103
2020-01-25,0.010830324909747292
2020-01-26,0.010178117048346057
2020-01-27,0.009727626459143969
2020-01-28,0.01172529313232831
2020-01-29,0.010622154779969653
2020-01-30,0.011611030478955007
2020-01-31,0.009655172413793102
2020-02-01,0.009708737864077669
2020-02-02,0.008982035928143712
2020-02-03,0.007396449704142012
2020-02-04,0.004385964912280702
2020-02-05,0.004081632653061225
2020-02-06,0.009831460674157303
2020-02-07,0.007334963325183373
2020-02-08,0.007322175732217572
2020-02-09,0.00784313725490196
2020-02-10,0.0073126142595978045
2020-02-11,0.006039689387402933
2020-02-12,0.006194690265486725
2020-02-13,0.0017123287671232878
2020-02-14,0.001921229586935639
2020-02-15,0.0011049723756906076
2020-02-16,0.0022497187851518562
2020-02-17,0.0026720106880427524
2020-02-18,0.0018509949097639984
2020-02-19,0.0021986075485525836
2020-02-20,0.001759530791788856
2020-02-21,0.0019743336623889436
2020-02-22,0.0018152938506920807
2020-02-23,0.0017304780445598095
2020-02-24,0.0017746228926353148
2020-02-25,0.002100350058343057
2020-02-26,0.0019464720194647199
2020-02-27,0.00208659363588941
2020-02-28,0.0022916069894013177
2020-02-29,0.0036537380550871273
2020-03-01,0.003278688524590163
2020-03-02,0.003088152723189219
2020-03-03,0.00318010985834056
2020-03-04,0.0029214139643587494
2020-03-05,0.0037499999999999994
2020-03-06,0.0034267912772585666
2020-03-07,0.001996007984031936
2020-03-08,0.0017397355601948502
2020-03-09,0.001454016721192294
2020-03-10,0.0019402405898331391
2020-03-11,0.002364998029168309
2020-03-12,0.0017140898183064792
2020-03-13,0.001680672268907563
2020-03-14,0.0026246719160104987
2020-03-15,0.0045811518324607335
2020-03-16,0.006650544135429263
2020-03-17,0.007790184367696701
2020-03-18,0.011304347826086957
2020-03-19,0.01116789702820367
2020-03-20,0.013676588897827835
2020-03-21,0.01453911020645536
2020-03-22,0.014907168993088495
2020-03-23,0.016435541859270673
2020-03-24,0.017740906190172306
2020-03-25,0.017812376302942343
2020-03-26,0.020148313977892823
2020-03-27,0.019879518072289153
2020-03-28,0.021227955584585234
2020-03-29,0.020968790637191162
2020-03-30,0.01838661586880901
2020-03-31,0.017552574929624105
2020-04-01,0.015382097856324658
2020-04-02,0.014487926727726896
2020-04-03,0.01345291479820628
2020-04-04,0.011324315822585716
2020-04-05,0.0101010101010101
2020-04-06,0.009272073069471354
2020-04-07,0.006760986603230249
2020-04-08,0.005810575246949448
2020-04-09,0.004380809915589273
2020-04-10,0.00338207500248682
2020-04-11,0.00291828793774319
2020-04-12,0.0024920255183413075
2020-04-13,0.002092487968194183
2020-04-14,0.001872865484190812
2020-04-15,0.0019045351743840015
2020-04-16,0.0019409937888198758
2020-04-17,0.0018592677345537756
2020-04-18,0.002013007122948281
2020-04-19,0.004985976939856653
2020-04-20,0.004194994937075076
2020-04-21,0.004519774011299435
2020-04-22,0.004257072232903049
2020-04-23,0.004328418774516435
2020-04-24,0.004470333243023572
2020-04-25,0.00416442772702848
2020-04-26,0.001230348598769651
2020-04-27,0.00112540192926045
2020-04-28,0.0007216308858019123
2020-04-29,0.000615637184485943
2020-04-30,0.0004593477262287552
2020-05-01,0.0002563445270443476
2020-05-02,0.0008192244675040961
2020-05-03,0.001994870333428327
2020-05-04,0.0027297543221110098
2020-05-05,0.0027820710973724882
2020-05-06,0.0031230480949406615
2020-05-07,0.00352112676056338
2020-05-08,0.0034898477157360402
2020-05-09,0.002630713581058862
2020-05-10,0.001348617666891436
2020-05-11,0.0007142857142857142
2020-05-12,0.0007945967421533572
2020-05-13,0.0004268032437046522
2020-05-14,0.0
2020-05-15,0.0
2020-05-16,0.0
2020-05-17,0.0
2020-05-18,0.0
2020-05-19,0.0
2020-05-20,0.0
2020-05-21,0.0005927682276229994
2020-05-22,0.000643915003219575
2020-05-23,0.0006653359946773121
2020-05-24,0.0006662225183211194
2020-05-25,0.000687757909215956
2020-05-26,0.0006501950585175552
2020-05-27,0.0006693440428380187
2020-05-28,0.0
2020-05-29,0.0007163323782234957
2020-05-30,0.000714796283059328
2020-05-31,0.0006882312456985547
2020-06-01,0.0014114326040931548
2020-06-02,0.0015552099533437012
2020-06-03,0.001549186676994578
2020-06-04,0.0015503875968992248
2020-06-05,0.0007604562737642586
2020-06-06,0.0007843137254901962
2020-06-07,0.0008718395815170008
2020-06-08,0.0
2020-06-09,0.0
2020-06-10,0.0
2020-06-11,0.0
2020-06-12,0.0
2020-06-13,0.0
2020-06-14,0.0
2020-06-15,0.002105263157894737
2020-06-16,0.00211864406779661
2020-06-17,0.002141327623126338
2020-06-18,0.0032119914346895075
2020-06-19,0.0031578947368421048
2020-06-20,0.003171247357293869
2020-06-21,0.0031914893617021275
2020-06-22,0.0010471204188481676
2020-06-23,0.0010683760683760685
2020-06-24,0.001034126163391934
2020-06-25,0.0009532888465204958
2020-06-26,0.0009372071227741331
2020-06-27,0.0009025270758122744
2020-06-28,0.0008841732979664015
2020-06-29,0.0008613264427217917
2020-06-30,0.0008038585209003216
2020-07-01,0.0008250825082508251
2020-07-02,0.0008880994671403196
