age,total,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0-4,29776,58,39,60,4727,24892,0,0,0,0,0,0,0
5-9,43895,55,46,41,7419,36334,0,0,0,0,0,0,0
10-14,31530,25,30,27,5135,26313,0,0,0,0,0,0,0
15-19,34653,24,42,219,5814,28554,0,0,0,0,0,0,0
20-24,57411,172,224,458,10734,45823,0,0,0,0,0,0,0
25-29,71427,302,301,494,13026,57304,0,0,0,0,0,0,0
30-34,66901,291,251,445,11690,54224,0,0,0,0,0,0,0
35-39,63949,170,165,357,10441,52816,0,0,0,0,0,0,0
40-44,65018,169,147,268,10006,54428,0,0,0,0,0,0,0
45-49,49177,126,122,193,7230,41506,0,0,0,0,0,0,0
50-54,40017,110,81,140,5695,33991,0,0,0,0,0,0,0
55-59,36901,111,76,97,5221,31396,0,0,0,0,0,0,0
60-64,32898,59,69,78,4665,28027,0,0,0,0,0,0,0
65-69,25080,65,49,77,3301,21588,0,0,0,0,0,0,0
70+,34074,53,42,65,4239,29675,0,0,0,0,0,0,0
