county,total,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
total,1346155,688394,479282,178479,0,0,0,0,0,0,0,0,0
Keelung,24068,11911,8865,3292,0,0,0,0,0,0,0,0,0
Taipei,127235,70339,41300,15596,0,0,0,0,0,0,0,0,0
New_Taipei,269766,141785,93661,34320,0,0,0,0,0,0,0,0,0
Taoyuan,152520,76765,55880,19875,0,0,0,0,0,0,0,0,0
Hsinchu,41971,21931,14634,5406,0,0,0,0,0,0,0,0,0
Hsinchu_C,33746,18049,11327,4370,0,0,0,0,0,0,0,0,0
Miaoli,32810,17430,11166,4214,0,0,0,0,0,0,0,0,0
Taichung,165973,86269,57731,21973,0,0,0,0,0,0,0,0,0
Changhua,58628,29074,22208,7346,0,0,0,0,0,0,0,0,0
Nantou,20181,9710,7511,2960,0,0,0,0,0,0,0,0,0
Yunlin,26040,12628,9698,3714,0,0,0,0,0,0,0,0,0
Chiayi,18582,9296,6494,2792,0,0,0,0,0,0,0,0,0
Chiayi_C,12490,6156,4391,1943,0,0,0,0,0,0,0,0,0
Tainan,111263,55682,40174,15407,0,0,0,0,0,0,0,0,0
Kaohsiung,163910,82387,59591,21932,0,0,0,0,0,0,0,0,0
Pingtung,31372,14392,12217,4763,0,0,0,0,0,0,0,0,0
Yilan,24916,10525,10397,3994,0,0,0,0,0,0,0,0,0
Hualien,15507,6499,6646,2362,0,0,0,0,0,0,0,0,0
Taitung,7954,3625,3104,1225,0,0,0,0,0,0,0,0,0
Penghu,2824,1388,1072,364,0,0,0,0,0,0,0,0,0
Kinmen,4016,2358,1061,597,0,0,0,0,0,0,0,0,0
Matsu,383,195,154,34,0,0,0,0,0,0,0,0,0
