difference,total
0,0
1,0
2,0
3,16
4,44
5,47
6,54
7,37
8,49
9,50
10,35
11,38
12,43
13,30
14,30
15,39
16,26
17,24
18,18
19,23
20,20
21,16
22,17
23,12
24,7
25,19
26,7
27,7
28,6
29,1
30,7
31,4
32,9
33,3
34,4
35,2
36,0
37,3
38,1
39,3
40,3
41,1
42,2
43,2
44,2
45,1
46,0
47,4
48,1
49,1
50,1
51,0
52,0
53,2
54,5
55,0
56,0
57,2
58,2
59,1
60,1
61,1
62,1
63,0
64,0
65,2
66,0
67,0
68,1
69,0
70,0
71,0
72,0
73,0
74,1
75,0
76,0
77,0
78,1
79,0
80,17
