date,positive_rate
2020-09-15,0.0032921810699588472
2020-09-16,0.0037257824143070045
2020-09-17,0.0038932146829810904
2020-09-18,0.0025471217524197652
2020-09-19,0.004140786749482401
2020-09-20,0.004945054945054945
2020-09-21,0.005130836326321189
2020-09-22,0.005091649694501018
2020-09-23,0.004641567818463125
2020-09-24,0.004118050789293067
2020-09-25,0.005631536604987933
2020-09-26,0.0028109627547434997
2020-09-27,0.001962066710268149
2020-09-28,0.0026578073089700994
2020-09-29,0.0025957170668397143
2020-09-30,0.003238341968911917
2020-10-01,0.004005340453938584
2020-10-02,0.0039931545921277805
2020-10-03,0.004410838059231253
2020-10-04,0.004516129032258064
2020-10-05,0.003035822707953855
2020-10-06,0.0049813200498132005
2020-10-07,0.005061867266591675
2020-10-08,0.004061371841155234
2020-10-09,0.004623208506703652
2020-10-10,0.004612546125461255
2020-10-11,0.004708097928436912
2020-10-12,0.005306319343945972
2020-10-13,0.0036798528058877645
2020-10-14,0.002874940105414471
2020-10-15,0.002876318312559923
2020-10-16,0.0032848427968090103
2020-10-17,0.0032573289902280136
2020-10-18,0.003178928247048138
2020-10-19,0.0045228403437358655
2020-10-20,0.006010171058714748
2020-10-21,0.006886374815543531
2020-10-22,0.009588268471517203
2020-10-23,0.00830140485312899
2020-10-24,0.009797517962116264
2020-10-25,0.010183299389002037
2020-10-26,0.006887052341597795
2020-10-27,0.004878048780487804
2020-10-28,0.004936530324400564
2020-10-29,0.00361881785283474
2020-10-30,0.0042761148442272455
2020-10-31,0.003674219228413962
2020-11-01,0.005518087063151442
2020-11-02,0.008284023668639054
2020-11-03,0.01015801354401806
2020-11-04,0.009478672985781991
2020-11-05,0.009987515605493134
2020-11-06,0.01032608695652174
2020-11-07,0.00967221923696937
2020-11-08,0.01019860440150295
2020-11-09,0.008192244675040962
2020-11-10,0.007084468664850136
2020-11-11,0.008903728436282692
2020-11-12,0.010498687664041993
2020-11-13,0.013994169096209914
2020-11-14,0.015891701000588582
2020-11-15,0.0148544266191325
2020-11-16,0.014326647564469911
2020-11-17,0.015006002400960384
2020-11-18,0.013805522208883553
2020-11-19,0.011661807580174927
2020-11-20,0.008187134502923975
2020-11-21,0.0060373216245883645
2020-11-22,0.008125677139761648
2020-11-23,0.008310249307479225
2020-11-24,0.006721820062047571
2020-11-25,0.008097165991902832
2020-11-26,0.008113590263691683
2020-11-27,0.011613438407299875
2020-11-28,0.01380597014925373
2020-11-29,0.012164579606440072
2020-11-30,0.02042278753135077
2020-12-01,0.0216927453769559
2020-12-02,0.023247094113235847
2020-12-03,0.01942675159235669
2020-12-04,0.018312387791741467
2020-12-05,0.018760195758564434
2020-12-06,0.02768313458262351
2020-12-07,0.018197958277851752
2020-12-08,0.01788170563961486
2020-12-09,0.015237265999129303
2020-12-10,0.020731042007637746
2020-12-11,0.015008576329331048
2020-12-12,0.014942528735632184
2020-12-13,0.008087343307723411
