key,value_1,value_2,value_3,label,label_fr,label_zh
total,93.9,88.3,74.7,All ages,Tous âges,全年齡
0-4,43.4,16.1,0.0,0-4 yo,0-4 ans,0-4歲
5-11,85.2,61.7,0.0,5-11 yo,5-11 ans,5-11歲
12-17,95.0,87.7,64.2,12-17 yo,12-17 ans,12-17歲
18-29,104.1,100.1,85.7,18-29 yo,18-29 ans,18-29歲
30-49,101.6,98.2,88.0,30-49 yo,30-49 ans,30-49歲
50-64,91.6,88.7,81.1,50-64 yo,50-64 ans,50-64歲
65-74,91.1,88.7,83.0,65-74 yo,65-74 ans,65-74歲
75+,83.0,78.4,71.1,75+ yo,75+ ans,75+歲
