difference,total
0,0
1,0
2,10
3,186
4,229
5,219
6,238
7,202
8,201
9,208
10,198
11,137
12,153
13,106
14,123
15,116
16,96
17,102
18,83
19,80
20,70
21,60
22,58
23,46
24,42
25,42
26,38
27,37
28,33
29,27
30,27
31,34
32,30
33,19
34,20
35,20
36,21
37,16
38,19
39,17
40,18
41,15
42,10
43,10
44,15
45,10
46,9
47,9
48,11
49,13
50,9
51,8
52,5
53,7
54,8
55,10
56,10
57,9
58,11
59,8
60,9
61,13
62,7
63,12
64,6
65,6
66,4
67,4
68,4
69,3
70,7
71,5
72,5
73,4
74,1
75,3
76,2
77,5
78,4
79,1
80,90
