date,positivity,fatality
2020-01-01,,
2020-01-02,,
2020-01-03,,
2020-01-04,,
2020-01-05,,
2020-01-06,,
2020-01-07,,
2020-01-08,,
2020-01-09,,
2020-01-10,,
2020-01-11,,
2020-01-12,,
2020-01-13,,
2020-01-14,,
2020-01-15,,
2020-01-16,0.0,
2020-01-17,,
2020-01-18,0.0,
2020-01-19,0.0,
2020-01-20,0.0,
2020-01-21,0.021276595744680854,0.0
2020-01-22,0.018018018018018018,0.0
2020-01-23,0.012658227848101267,0.0
2020-01-24,0.014285714285714284,0.0
2020-01-25,0.013005780346820811,0.0
2020-01-26,0.012048192771084336,0.0
2020-01-27,0.011356466876971607,0.0
2020-01-28,0.011100832562442183,0.0
2020-01-29,0.01088139281828074,0.0
2020-01-30,0.011158021712907118,0.0
2020-01-31,0.010638297872340424,0.0
2020-02-01,0.010469986040018612,0.0
2020-02-02,0.010277717034769297,0.0
2020-02-03,0.009926082365364308,0.0
2020-02-04,0.00891746163417669,0.0
2020-02-05,0.007962433646386277,0.0
2020-02-06,0.0077220077220077205,0.0
2020-02-07,0.0073793378540087775,0.0
2020-02-08,0.007048961706991808,0.0
2020-02-09,0.006963042313872523,0.0
2020-02-10,0.006977903306197041,0.0
2020-02-11,0.007083461656914074,0.0
2020-02-12,0.007257947452460444,0.0
2020-02-13,0.006126616746085772,0.0
2020-02-14,0.005417547568710359,0.0
2020-02-15,0.00465611281096182,0.007936507936507936
2020-02-16,0.003926347143243976,0.015625
2020-02-17,0.003209654641160611,0.022727272727272724
2020-02-18,0.0025025594357865996,0.029411764705882353
2020-02-19,0.0020211742059672764,0.0352112676056338
2020-02-20,0.0019791006966434453,0.04054054054054054
2020-02-21,0.0019817170619446395,0.044871794871794865
2020-02-22,0.0019848524418908326,0.04268292682926828
2020-02-23,0.001923160977315442,0.04069767441860464
2020-02-24,0.0018539976825028969,0.03888888888888888
2020-02-25,0.001891911187263511,0.037037037037037035
2020-02-26,0.0018710665079095083,0.035532994923857864
2020-02-27,0.0019115329152553737,0.03414634146341464
2020-02-28,0.0019481851117643034,0.03286384976525821
2020-02-29,0.002182406983702348,0.03097345132743362
2020-03-01,0.002404721999562778,0.029411764705882353
2020-03-02,0.00260377358490566,0.028112449799196783
2020-03-03,0.0027654436394796288,0.02692307692307692
2020-03-04,0.002921519189978789,0.02592592592592592
2020-03-05,0.003161828111526301,0.024822695035460987
2020-03-06,0.0033233632436025264,0.023890784982935145
2020-03-07,0.0031037414965986395,0.02341137123745819
2020-03-08,0.002903140670361572,0.023026315789473683
2020-03-09,0.0026913602773469573,0.02272727272727272
2020-03-10,0.0025191311374114737,0.022364217252396165
2020-03-11,0.0024315204446208813,0.0219435736677116
2020-03-12,0.0021139520837527683,0.021604938271604937
2020-03-13,0.0018337408312958435,0.021276595744680847
2020-03-14,0.0019316795445302965,0.020771513353115723
2020-03-15,0.0023675196453757804,0.019943019943019936
2020-03-16,0.0031847133757961785,0.018766756032171577
2020-03-17,0.004150717151685653,0.0173697270471464
2020-03-18,0.0057267980461512555,0.015384615384615382
2020-03-19,0.0072743979478540515,0.013618677042801553
2020-03-20,0.009194932570494483,0.013355592654424042
2020-03-21,0.01090197259448878,0.012875536480686693
2020-03-22,0.012199344751351782,0.012360939431396784
2020-03-23,0.013417071081929771,0.011739594450373531
2020-03-24,0.014618041225917157,0.011152416356877323
2020-03-25,0.015418816667006589,0.010734929810074317
2020-03-26,0.016521619550910558,0.010332103321033207
2020-03-27,0.01729780271154745,0.009414929388029587
2020-03-28,0.018149107372333485,0.008658008658008658
2020-03-29,0.01898875265984396,0.009736540664375716
2020-03-30,0.019334229993275047,0.010770059235325796
2020-03-31,0.0193786594424539,0.011716760061130923
2020-04-01,0.01910137728606909,0.012639766650461839
2020-04-02,0.01829141068737684,0.013526119402985074
2020-04-03,0.017363480224925294,0.014382022471910113
2020-04-04,0.015914622729825873,0.0152372659991293
2020-04-05,0.014323582755894527,0.014817950889077055
2020-04-06,0.012943812088434297,0.01440922190201729
2020-04-07,0.011270780501549732,0.014095851792186871
2020-04-08,0.009787995311632498,0.013817607579944729
2020-04-09,0.008271457700150042,0.013986013986013984
2020-04-10,0.006838186719991429,0.014187116564417178
2020-04-11,0.005690731284002536,0.014404852160727823
2020-04-12,0.004739411116359628,0.014645137063462259
2020-04-13,0.003858247383531054,0.014908684308609763
2020-04-14,0.003242968586543922,0.015185185185185182
2020-04-15,0.0027436281859070464,0.015463917525773193
2020-04-16,0.0024131941775926468,0.015378982057854262
2020-04-17,0.0021932653851115987,0.015306122448979588
2020-04-18,0.0020448140765688366,0.015233949945593035
2020-04-19,0.0023080304806565068,0.015059160989602006
2020-04-20,0.002598302442404296,0.014904187366926896
2020-04-21,0.0030018010806483887,0.014736842105263158
2020-04-22,0.0033769263830048506,0.014578271433530023
2020-04-23,0.0037497939673644307,0.014418125643666322
2020-04-24,0.004128684135224625,0.014256619144602849
2020-04-25,0.004407757653470107,0.014108162579778299
2020-04-26,0.0038772658387293585,0.014065639651707968
2020-04-27,0.0034918987947960734,0.014032743067156697
2020-04-28,0.0030259988884085718,0.014014014014014012
2020-04-29,0.0025774312324019924,0.013999999999999999
2020-04-30,0.0020634810229301433,0.013990672884743503
2020-05-01,0.0014375788146279954,0.013986013986013984
2020-05-02,0.0008085201293632205,0.01397205588822355
2020-05-03,0.0008421183956085085,0.013939595087952205
2020-05-04,0.0009952297608016745,0.013898080741230973
2020-05-05,0.0012671909358577765,0.013856812933025401
2020-05-06,0.0016295707472178062,0.013811246300559027
