age,total,2020,2021,2022,2023
total,1.70e-03,8.76e-03,5.19e-02,1.61e-03,1.71e-03
0-9,3.91e-05,0.00e+00,0.00e+00,3.74e-05,8.42e-05
10-19,1.38e-05,0.00e+00,0.00e+00,1.34e-05,2.19e-05
20-29,2.68e-05,0.00e+00,0.00e+00,2.63e-05,3.70e-05
30-39,6.35e-05,0.00e+00,3.08e-03,5.95e-05,4.55e-05
40-49,2.33e-04,2.17e-02,8.00e-03,2.20e-04,1.97e-04
50-59,8.47e-04,1.30e-02,2.45e-02,7.95e-04,5.97e-04
60-69,2.48e-03,3.39e-02,7.31e-02,2.23e-03,2.34e-03
70+,1.84e-02,9.09e-02,2.59e-01,1.77e-02,1.70e-02
