difference,total
0,8
1,29
2,24
3,29
4,35
5,37
6,26
7,30
8,34
9,30
10,29
11,38
12,32
13,29
14,36
15,30
16,18
17,20
18,19
19,26
20,15
21,18
22,17
23,15
24,10
25,13
26,11
27,8
28,10
29,12
30,10
31,3
32,9
33,3
34,5
35,7
36,5
37,7
38,5
39,3
40,5
41,3
42,0
43,2
44,3
45,3
46,3
47,3
48,6
49,2
50,6
51,1
52,2
53,5
54,5
55,2
56,2
57,2
58,3
59,1
60,0
61,1
62,1
63,0
64,1
65,1
66,3
67,3
68,3
69,0
70,1
71,2
72,1
73,3
74,0
75,0
76,1
77,3
78,1
79,0
80,13
