key,label,label_fr,label_zh
total,Total,Totaux,合計
Jan,January,Janvier,1月
Feb,February,Février,2月
Mar,March,Mars,3月
Apr,April,Avril,4月
May,May,Mai,5月
Jun,June,Juin,6月
Jul,July,Juillet,7月
Aug,August,Août,8月
Sep,September,Septembre,9月
Oct,October,Octobre,10月
Nov,November,Novembre,11月
Dec,December,Décembre,12月
