county,nb_cases
Keelung,217
Taipei,3751
New_Taipei,5286
Taoyuan,513
Hsinchu,38
Hsinchu_C,27
Miaoli,357
Taichung,166
Changhua,233
Nantou,30
Yunlin,16
Chiayi,17
Chiayi_C,9
Tainan,38
Kaohsiung,61
Pingtung,33
Yilan,87
Hualien,45
Taitung,22
Penghu,5
Kinmen,0
Matsu,4
unknown,462
