date,arr_incidence,local_incidence
2021-01-01,0.0021960471151926527,0.0
2021-01-02,0.00253910217347146,0.0
2021-01-03,0.002788392027264277,0.0
2021-01-04,0.0022403258655804485,0.0
2021-01-05,0.0021808088818398097,0.0
2021-01-06,0.0021078854076841996,0.0
2021-01-07,0.0020609318996415767,0.0
2021-01-08,0.0017933723196881088,0.0
2021-01-09,0.001445608962775569,0.0
2021-01-10,0.0010480120521385995,0.0
2021-01-11,0.0011740715565717113,0.0
2021-01-12,0.0010985834056085571,1.2112389970216782e-05
2021-01-13,0.0010358605041187788,1.2112389970216782e-05
2021-01-14,0.0007535795026375282,1.2112389970216782e-05
2021-01-15,0.0006793478260869564,1.2112389970216782e-05
2021-01-16,0.0008527330092947897,1.8168584955325175e-05
2021-01-17,0.0010005220114842526,2.4224779940433564e-05
2021-01-18,0.0010087276873821324,3.0280974925541954e-05
2021-01-19,0.0010360827064282174,4.239336489575874e-05
2021-01-20,0.000978952520802741,4.844955988086713e-05
2021-01-21,0.0012929338355163302,4.844955988086713e-05
2021-01-22,0.0014482259232440262,6.056194985108391e-05
2021-01-23,0.0010709130697955952,6.056194985108391e-05
2021-01-24,0.0010053765790969094,6.66181448361923e-05
2021-01-25,0.0007135961046047936,6.056194985108391e-05
2021-01-26,0.0006351474733039576,3.633716991065035e-05
2021-01-27,0.000735414283379637,3.0280974925541954e-05
2021-01-28,0.0007634959130512888,3.0280974925541954e-05
2021-01-29,0.0008070156561037282,1.8168584955325175e-05
2021-01-30,0.001236335242061426,3.633716991065035e-05
2021-01-31,0.001465320742429176,2.4224779940433564e-05
2021-02-01,0.0018806295159853508,2.4224779940433564e-05
2021-02-02,0.0027573529411764708,2.4224779940433564e-05
2021-02-03,0.003294350189425136,2.4224779940433564e-05
2021-02-04,0.0031791448100460967,2.4224779940433564e-05
2021-02-05,0.0030158730158730157,3.0280974925541954e-05
2021-02-06,0.0022085502445180626,6.056194985108391e-06
2021-02-07,0.0022893772893772895,6.056194985108391e-06
2021-02-08,0.002276176024279211,6.056194985108391e-06
2021-02-09,0.002544529262086514,1.2112389970216782e-05
2021-02-10,0.002861230329041488,1.2112389970216782e-05
2021-02-11,0.0031263026260942056,1.2112389970216782e-05
2021-02-12,0.003054511278195488,6.056194985108391e-06
2021-02-13,0.003027245206861755,6.056194985108391e-06
2021-02-14,0.002706766917293233,6.056194985108391e-06
2021-02-15,0.002570694087403599,6.056194985108391e-06
2021-02-16,0.0014582573824279985,0.0
2021-02-17,0.0008377548170901983,0.0
2021-02-18,0.0009580838323353294,0.0
2021-02-19,0.0007585814526834819,0.0
2021-02-20,0.000881678716275789,0.0
2021-02-21,0.0007223345853799479,0.0
2021-02-22,0.0006994963626189144,0.0
2021-02-23,0.000677874186550976,0.0
2021-02-24,0.0011210762331838565,0.0
2021-02-25,0.0015488594762038863,0.0
2021-02-26,0.0015008254539996997,0.0
2021-02-27,0.001806412765316875,0.0
2021-02-28,0.0021093623235437283,0.0
2021-03-01,0.002070723160242115,0.0
2021-03-02,0.001965527668581796,0.0
2021-03-03,0.0018001800180018,0.0
2021-03-04,0.0013311640289897944,0.0
2021-03-05,0.0012503473186996387,0.0
2021-03-06,0.001813110181311018,0.0
2021-03-07,0.0018857758620689658,0.0
2021-03-08,0.0028271405492730213,0.0
2021-03-09,0.0030038230475150193,0.0
2021-03-10,0.002635740643120717,0.0
2021-03-11,0.0023743569449940637,0.0
2021-03-12,0.003085626124967858,0.0
2021-03-13,0.002140518761017376,0.0
2021-03-14,0.0019995001249687575,0.0
2021-03-15,0.0016700465227245617,0.0
2021-03-16,0.001489117983963345,0.0
2021-03-17,0.0013610071452875127,0.0
2021-03-18,0.0022346368715083797,0.0
2021-03-19,0.002265518803806072,0.0
2021-03-20,0.0024035710198008473,0.0
2021-03-21,0.002510460251046025,0.0
2021-03-22,0.0019145626420964464,0.0
2021-03-23,0.0020556227327690447,0.0
2021-03-24,0.0023459686381034693,0.0
2021-03-25,0.0017428109050168054,0.0
2021-03-26,0.001114413075780089,0.0
2021-03-27,0.0018884552436107267,0.0
2021-03-28,0.001840349666436623,0.0
2021-03-29,0.002058609832889319,0.0
2021-03-30,0.002001412761949611,0.0
2021-03-31,0.00238230289279637,0.0
2021-04-01,0.0026651860077734593,0.0
2021-04-02,0.0027777777777777775,0.0
2021-04-03,0.002617526960527693,0.0
2021-04-04,0.0028745544440611707,0.0
2021-04-05,0.0028705936387644964,0.0
2021-04-06,0.0030285381479324405,0.0
2021-04-07,0.0023102691463555503,0.0
2021-04-08,0.001616814874696847,0.0
2021-04-09,0.0017893355600620301,0.0
2021-04-10,0.0013110846245530392,0.0
2021-04-11,0.0010912265386294195,0.0
2021-04-12,0.0010590976488032196,0.0
2021-04-13,0.0013325930038867299,0.0
2021-04-14,0.0019133370849746764,0.0
2021-04-15,0.0020545599817372445,0.0
2021-04-16,0.0017873100983020554,0.0
2021-04-17,0.0017843202854912455,0.0
2021-04-18,0.0018535681186283592,0.0
2021-04-19,0.002109210217951722,0.0
2021-04-20,0.0016132749481447338,0.0
2021-04-21,0.0015267175572519084,0.0
2021-04-22,0.0018805829807240246,0.0
2021-04-23,0.0019068049100226432,6.056194985108391e-06
2021-04-24,0.0024189646831156266,6.056194985108391e-06
2021-04-25,0.0023989444644356484,6.056194985108391e-06
2021-04-26,0.002240037726951191,6.056194985108391e-06
2021-04-27,0.0027665706051873194,1.2112389970216782e-05
2021-04-28,0.0025865946918578494,3.0280974925541954e-05
2021-04-29,0.002359020444843855,4.239336489575874e-05
