id,國家,統計日期,疫苗廠牌,第一劑累計接種人次,第二劑累計接種人次,追加劑累計接種人次,加強劑累計接種人次,第2次追加劑,第2次加強劑,總共累計接種人次
295,Taiwan,2022-03-31,ALL,19456216,18273476,11687273,190630,0,0,49607595
294,Taiwan,2022-03-31,BNT,6411387,6094503,3112291,49476,0,0,15667657
293,Taiwan,2022-03-31,高端,860828,789850,517463,10462,0,0,2178603
292,Taiwan,2022-03-31,Moderna,4126781,4254081,8024412,130001,0,0,16535275
291,Taiwan,2022-03-31,Oxford/AstraZeneca,8057220,7135042,33107,691,0,0,15226060
290,Taiwan,2022-04-01,ALL,19460769,18284317,11771301,191232,0,0,49707619
289,Taiwan,2022-04-01,BNT,6411388,6094554,3112565,49381,0,0,15667888
288,Taiwan,2022-04-01,高端,861750,791413,522336,10508,0,0,2186007
287,Taiwan,2022-04-01,Moderna,4130357,4263069,8103164,130647,0,0,16627237
286,Taiwan,2022-04-01,Oxford/AstraZeneca,8057274,7135281,33236,696,0,0,15226487
285,Taiwan,2022-04-05,ALL,19468679,18303023,11896558,192605,0,0,49860865
284,Taiwan,2022-04-05,BNT,6411405,6094610,3112627,49380,0,0,15668022
283,Taiwan,2022-04-05,高端,863177,793654,528774,10631,0,0,2196236
282,Taiwan,2022-04-05,Moderna,4136657,4278861,8221655,131895,0,0,16769068
281,Taiwan,2022-04-05,Oxford/AstraZeneca,8057440,7135898,33502,699,0,0,15227539
280,Taiwan,2022-04-06,ALL,19475279,18316625,11961309,192923,0,0,49946136
279,Taiwan,2022-04-06,BNT,6411400,6094660,3112647,49379,0,0,15668086
278,Taiwan,2022-04-06,高端,864721,795697,534072,10699,0,0,2205189
277,Taiwan,2022-04-06,Moderna,4141468,4289582,8280702,132143,0,0,16843895
276,Taiwan,2022-04-06,Oxford/AstraZeneca,8057690,7136686,33888,702,0,0,15228966
275,Taiwan,2022-04-07,ALL,19482724,18330323,12031990,192723,0,0,50037760
274,Taiwan,2022-04-07,BNT,6411399,6094713,3112712,49056,0,0,15667880
273,Taiwan,2022-04-07,高端,866367,797619,539473,10752,0,0,2214211
272,Taiwan,2022-04-07,Moderna,4146914,4300337,8345431,132221,0,0,16924903
271,Taiwan,2022-04-07,Oxford/AstraZeneca,8058044,7137654,34374,694,0,0,15230766
270,Taiwan,2022-04-08,ALL,19492297,18347930,12135400,193297,0,0,50168924
269,Taiwan,2022-04-08,BNT,6411414,6094898,3113442,48972,0,0,15668726
268,Taiwan,2022-04-08,高端,868185,799722,545828,10766,0,0,2224501
267,Taiwan,2022-04-08,Moderna,4154420,4315085,8441420,132861,0,0,17043786
266,Taiwan,2022-04-08,Oxford/AstraZeneca,8058278,7138225,34710,698,0,0,15231911
265,Taiwan,2022-04-10,ALL,19501815,18363810,12227418,193717,0,0,50286760
264,Taiwan,2022-04-10,BNT,6411434,6094934,3114229,48865,0,0,15669462
263,Taiwan,2022-04-10,高端,870100,801794,552023,10814,0,0,2234731
262,Taiwan,2022-04-10,Moderna,4161819,4328381,8526208,133328,0,0,17149736
261,Taiwan,2022-04-10,Oxford/AstraZeneca,8058462,7138701,34958,710,0,0,15232831
260,Taiwan,2022-04-11,ALL,19512462,18378613,12305405,193978,0,0,50390458
259,Taiwan,2022-04-11,BNT,6411440,6095007,3114301,48734,0,0,15669482
258,Taiwan,2022-04-11,高端,872674,804023,558089,10853,0,0,2245639
257,Taiwan,2022-04-11,Moderna,4169637,4340271,8597737,133666,0,0,17241311
256,Taiwan,2022-04-11,Oxford/AstraZeneca,8058711,7139312,35278,725,0,0,15234026
255,Taiwan,2022-04-12,ALL,19521876,18392203,12376392,193846,0,0,50484317
254,Taiwan,2022-04-12,BNT,6411456,6095063,3114463,48530,0,0,15669512
253,Taiwan,2022-04-12,高端,874658,805808,563111,10920,0,0,2254497
252,Taiwan,2022-04-12,Moderna,4176750,4351292,8663198,133678,0,0,17324918
251,Taiwan,2022-04-12,Oxford/AstraZeneca,8059012,7140040,35620,718,0,0,15235390
250,Taiwan,2022-04-13,ALL,19532520,18406481,12450778,194198,0,0,50583977
249,Taiwan,2022-04-13,BNT,6411474,6095130,3114740,48431,0,0,15669775
248,Taiwan,2022-04-13,高端,877390,808110,569965,10973,0,0,2266438
247,Taiwan,2022-04-13,Moderna,4184347,4362536,8730096,134068,0,0,17411047
246,Taiwan,2022-04-13,Oxford/AstraZeneca,8059309,7140705,35977,726,0,0,15236717
245,Taiwan,2022-04-14,ALL,19544597,18422830,12531182,194829,0,0,50693438
244,Taiwan,2022-04-14,BNT,6411505,6095344,3115097,48415,0,0,15670361
243,Taiwan,2022-04-14,高端,880540,810570,576949,11061,0,0,2279120
242,Taiwan,2022-04-14,Moderna,4192869,4375243,8802691,134626,0,0,17505429
241,Taiwan,2022-04-14,Oxford/AstraZeneca,8059683,7141673,36445,727,0,0,15238528
240,Taiwan,2022-04-15,ALL,19560910,18444999,12656961,195488,0,0,50858358
239,Taiwan,2022-04-15,BNT,6411594,6095486,3115552,48418,0,0,15671050
238,Taiwan,2022-04-15,高端,883998,813154,584529,11125,0,0,2292806
237,Taiwan,2022-04-15,Moderna,4205276,4393808,8919860,135216,0,0,17654160
236,Taiwan,2022-04-15,Oxford/AstraZeneca,8060042,7142551,37020,729,0,0,15240342
235,Taiwan,2022-04-17,ALL,19575164,18463673,12828346,196751,0,0,51063934
234,Taiwan,2022-04-17,BNT,6411591,6095507,3116272,48283,0,0,15671653
233,Taiwan,2022-04-17,高端,886531,815102,591482,11290,0,0,2304405
232,Taiwan,2022-04-17,Moderna,4216720,4410050,9083153,136446,0,0,17846369
231,Taiwan,2022-04-17,Oxford/AstraZeneca,8060322,7143014,37439,732,0,0,15241507
230,Taiwan,2022-04-18,ALL,19590254,18481163,12940066,196976,0,0,51208459
229,Taiwan,2022-04-18,BNT,6411599,6095551,3116512,48214,0,0,15671876
228,Taiwan,2022-04-18,高端,890338,817701,600530,11232,0,0,2319801
227,Taiwan,2022-04-18,Moderna,4227562,4424159,9185022,136782,0,0,17973525
226,Taiwan,2022-04-18,Oxford/AstraZeneca,8060755,7143752,38002,748,0,0,15243257
225,Taiwan,2022-04-19,ALL,19602331,18495627,13027550,198593,0,0,51324101
224,Taiwan,2022-04-19,BNT,6411698,6095630,3116868,48229,0,0,15672425
223,Taiwan,2022-04-19,高端,893240,819823,607873,11343,0,0,2332279
222,Taiwan,2022-04-19,Moderna,4236248,4435647,9264181,138236,0,0,18074312
221,Taiwan,2022-04-19,Oxford/AstraZeneca,8061145,7144527,38628,785,0,0,15245085
220,Taiwan,2022-04-20,ALL,19615722,18510983,13121688,199998,0,0,51448391
219,Taiwan,2022-04-20,BNT,6411705,6095670,3117373,48240,0,0,15672988
218,Taiwan,2022-04-20,高端,897266,822640,618358,11437,0,0,2349701
217,Taiwan,2022-04-20,Moderna,4245178,4447402,9346615,139530,0,0,18178725
216,Taiwan,2022-04-20,Oxford/AstraZeneca,8061573,7145271,39342,791,0,0,15246977
215,Taiwan,2022-04-21,ALL,19631579,18528665,13230375,199689,0,0,51590308
214,Taiwan,2022-04-21,BNT,6411732,6095691,3117495,48194,0,0,15673112
213,Taiwan,2022-04-21,高端,902657,826544,632284,11532,0,0,2373017
212,Taiwan,2022-04-21,Moderna,4255082,4460159,9440260,139171,0,0,18294672
211,Taiwan,2022-04-21,Oxford/AstraZeneca,8062108,7146271,40336,792,0,0,15249507
210,Taiwan,2022-04-22,ALL,19648569,18548358,13361249,199705,0,0,51757881
209,Taiwan,2022-04-22,BNT,6411741,6095779,3117701,48056,0,0,15673277
208,Taiwan,2022-04-22,高端,907574,829874,645644,11601,0,0,2394693
207,Taiwan,2022-04-22,Moderna,4266662,4475554,9556355,139247,0,0,18437818
206,Taiwan,2022-04-22,Oxford/AstraZeneca,8062592,7147151,41549,801,0,0,15252093
205,Taiwan,2022-04-24,ALL,19663569,18563770,13459389,197994,0,0,51884722
