id,國家,統計日期,疫苗廠牌,第一劑累計接種人次,第二劑累計接種人次,追加劑累計接種人次,加強劑累計接種人次,第2次追加劑,第2次加強劑,總共累計接種人次
328,Taiwan,2022-09-19,BNT,7554255,6874811,4316996,45642,207332,0,18999036
327,Taiwan,2022-09-19,Novavax,15711,19839,62220,1222,301131,0,400123
326,Taiwan,2022-09-19,Moderna,5004425,5202526,11535726,126107,1785877,0,23654661
325,Taiwan,2022-09-19,ALL,21663522,20246851,16904906,185768,2383081,0,61384128
324,Taiwan,2022-09-20,Oxford/AstraZeneca,8072412,7164373,59778,720,0,0,15297283
323,Taiwan,2022-09-20,高端,1016761,985435,930941,12087,89325,0,3034549
322,Taiwan,2022-09-20,BNT,7560574,6880477,4320473,45524,208716,0,19015764
321,Taiwan,2022-09-20,Novavax,15760,19948,62448,1222,302079,0,401457
320,Taiwan,2022-09-20,Moderna,5005620,5206077,11539175,126135,1793419,0,23670426
319,Taiwan,2022-09-20,ALL,21671127,20256310,16912815,185688,2393539,0,61419479
318,Taiwan,2022-09-21,Oxford/AstraZeneca,8072414,7164375,59778,720,0,0,15297287
317,Taiwan,2022-09-21,高端,1016803,985563,931774,12090,89837,0,3036067
316,Taiwan,2022-09-21,BNT,7565147,6884047,4323390,45539,210031,0,19028154
315,Taiwan,2022-09-21,Novavax,15809,20049,62684,1222,302945,0,402709
314,Taiwan,2022-09-21,Moderna,5006753,5209290,11542266,126173,1800163,0,23684645
313,Taiwan,2022-09-21,ALL,21676926,20263324,16919892,185744,2402976,0,61448862
312,Taiwan,2022-09-22,Oxford/AstraZeneca,8072416,7164376,59778,720,0,0,15297290
311,Taiwan,2022-09-22,高端,1016852,985712,932647,12093,90358,0,3037662
310,Taiwan,2022-09-22,BNT,7569477,6888947,4327154,45572,211240,0,19042390
309,Taiwan,2022-09-22,Novavax,15884,20193,63055,1224,304229,0,404585
308,Taiwan,2022-09-22,Moderna,5007836,5212672,11545471,126206,1807183,0,23699368
307,Taiwan,2022-09-22,ALL,21682465,20271900,16928105,185815,2413010,0,61481295
306,Taiwan,2022-09-23,Oxford/AstraZeneca,8072417,7164378,59778,720,0,0,15297293
305,Taiwan,2022-09-23,高端,1016890,985832,933379,12097,90808,0,3039006
304,Taiwan,2022-09-23,BNT,7576464,6898887,4335627,45743,212535,0,19069256
303,Taiwan,2022-09-23,Novavax,15958,20323,63450,1228,305329,0,406288
