資料來源：各機場、港口入出境人數統計資料,,日期,入出境總人數_小計,桃園一期,,,桃園二期,,,桃園一_二期,高雄機場,,,基隆港,,,台中港,,,高雄港,,,花蓮港,,,蘇澳港,,,澎湖港,,,台南機場,,,安平港,,,松山機場,,,金門港_水頭,,,馬祖,,,花蓮機場,,,麥寮港,,,馬公機場,,,台中機場,,,和平港,,,金門機場,,,南竿機場,,,北竿機場,,,嘉義機場,,,台北港,,,東港,,,台東機場,,,北竿白沙港,,,布袋港,,,大園沙崙港,,,台東富岡港,,,馬公港,,,桃園竹圍港,,,金門港_料羅,,,後壁湖遊艇港,,,淡水第二漁港遊艇碼頭,,,屏東大鵬灣遊艇港,,,屏東機場,,
入境總人數,出境總人數,,,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,合計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計
"16,181","12,526",20200229,"28,707","8,041","5,642","13,683","5,742","5,183","10,925","24,608","1,410",664,"2,074",0,0,0,4,1,5,31,44,75,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2,596,711,"1,307",0,0,0,0,0,0,0,0,0,3,2,5,0,0,0,352,253,605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16,310","14,850",20200301,"31,160","7,937","6,867","14,804","6,237","5,345","11,582","26,386","1,014","1,061","2,075",0,1,1,7,4,11,7,11,18,1,0,1,9,8,17,0,0,0,114,103,217,9,0,9,595,"1,144","1,739",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,379,305,684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12,284","12,713",20200302,"24,997","5,657","4,770","10,427","4,938","5,529","10,467","20,894",838,753,"1,591",2,0,2,0,0,0,20,27,47,0,0,0,0,4,4,0,0,0,113,71,184,7,1,8,480,"1,262","1,742",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,227,267,494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11,827","11,517",20200303,"23,344","5,726","4,705","10,431","4,451","5,189","9,640","20,071","1,043",745,"1,788",1,0,1,2,4,6,35,47,82,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,386,577,963,0,0,0,0,0,0,0,0,0,5,3,8,0,0,0,171,208,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,11,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10,026","11,107",20200304,"21,133","5,076","4,652","9,728","3,569","4,609","8,178","17,906",682,680,"1,362",0,0,0,4,2,6,33,46,79,0,0,0,0,8,8,0,0,0,122,76,198,14,8,22,384,872,"1,256",0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,136,140,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9,291","10,639",20200305,"19,930","5,066","4,405","9,471","3,091","4,509","7,600","17,071",512,510,"1,022",0,0,0,1,1,2,38,43,81,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,361,925,"1,286",0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,218,226,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8,858","10,724",20200306,"19,582","4,024","4,517","8,541","3,318","4,336","7,654","16,195",603,795,"1,398",44,10,54,0,0,0,14,43,57,0,7,7,0,0,0,0,0,0,83,89,172,0,6,6,419,632,"1,051",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,351,278,629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,8,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9,504","9,522",20200307,"19,026","4,624","3,949","8,573","3,915","4,282","8,197","16,770",471,550,"1,021",0,0,0,10,10,20,14,22,36,7,0,7,0,0,0,0,0,0,0,0,0,0,4,4,274,606,880,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,187,95,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10,699","10,522",20200308,"21,221","5,424","4,950","10,374","3,709","3,565","7,274","17,648",729,667,"1,396",0,0,0,6,3,9,12,37,49,0,0,0,0,0,0,0,0,0,91,86,177,0,0,0,360,896,"1,256",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,367,305,672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8,072","9,228",20200309,"17,300","3,957","3,691","7,648","3,139","3,916","7,055","14,703",497,597,"1,094",0,0,0,4,0,4,29,42,71,0,0,0,0,0,0,0,0,0,51,78,129,13,7,20,253,746,999,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,120,90,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,2,59,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8,065","9,307",20200310,"17,372","3,730","3,706","7,436","3,347","4,418","7,765","15,201",508,556,"1,064",12,1,13,2,5,7,15,16,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,326,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,253,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7,581","8,364",20200311,"15,945","3,295","3,494","6,789","3,189","3,206","6,395","13,184",584,656,"1,240",3,2,5,4,12,16,28,84,112,0,0,0,0,0,0,0,0,0,76,83,159,6,11,17,227,600,827,0,0,0,0,0,0,0,0,0,2,14,16,0,0,0,166,200,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7,702","7,830",20200312,"15,532","3,800","3,623","7,423","3,096","3,194","6,290","13,713",315,212,527,0,1,1,10,2,12,57,37,94,0,0,0,0,7,7,0,0,0,0,0,0,4,3,7,263,580,843,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,148,142,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7,550","7,444",20200313,"14,994","3,284","3,154","6,438","3,130","2,807","5,937","12,375",416,656,"1,072",15,1,16,9,6,15,28,47,75,1,0,1,0,0,0,0,0,0,94,74,168,0,0,0,252,428,680,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,319,241,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,20,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9,277","7,166",20200314,"16,443","4,046","2,950","6,996","4,319","3,264","7,583","14,579",480,371,851,2,1,3,3,28,31,25,32,57,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,232,427,659,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,162,89,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10,785","8,253",20200315,"19,038","5,313","3,654","8,967","3,979","2,822","6,801","15,768",690,605,"1,295",0,0,0,14,9,23,35,27,62,0,0,0,0,0,0,0,0,0,130,72,202,0,0,0,259,769,"1,028",0,0,0,0,0,0,0,0,0,1,3,4,0,0,0,364,284,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8,294","6,805",20200316,"15,099","3,730","2,535","6,265","3,886","2,925","6,811","13,076",318,493,811,0,0,0,0,0,0,25,21,46,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,224,694,918,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,108,72,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,0,52,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8,423","5,741",20200317,"14,164","3,194","2,468","5,662","4,237","2,418","6,655","12,317",571,368,939,14,5,19,4,1,5,23,35,58,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9,217,291,508,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,142,131,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8,508","5,643",20200318,"14,151","3,020","2,046","5,066","4,191","2,354","6,545","11,611",543,423,966,1,0,1,0,1,1,58,31,89,0,0,0,0,0,0,0,0,0,173,76,249,1,0,1,305,530,835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,180,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6,511","4,937",20200319,"11,448","3,032","2,369","5,401","3,266","1,853","5,119","10,520",33,163,196,0,0,0,0,0,0,3,1,4,0,0,0,0,8,8,0,0,0,0,0,0,4,0,4,170,534,704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5,607","5,205",20200320,"10,812","1,719","2,092","3,811","3,419","2,344","5,763","9,574",265,354,619,0,0,0,0,0,0,5,25,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,383,580,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4,965","3,470",20200321,"8,435","1,592","1,308","2,900","3,229","1,712","4,941","7,841",13,79,92,4,0,4,0,0,0,8,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,355,472,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4,413","2,896",20200322,"7,309","1,426",900,"2,326","2,794","1,404","4,198","6,524",88,133,221,0,0,0,0,0,0,13,12,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,447,539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3,006","2,418",20200323,"5,424",726,615,"1,341","2,051","1,103","3,154","4,495",101,187,288,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,127,509,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2,986","2,230",20200324,"5,216",913,893,"1,806","2,019","1,092","3,111","4,917",0,0,0,0,0,0,0,0,0,5,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,235,283,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2,776","1,662",20200325,"4,438",733,478,"1,211","1,947",986,"2,933","4,144",13,25,38,0,0,0,1,1,2,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,144,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2,792","1,212",20200326,"4,004",783,456,"1,239","1,957",521,"2,478","3,717",0,0,0,0,1,1,1,1,2,3,7,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,44,189,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2,303","1,697",20200327,"4,000",470,595,"1,065","1,731",845,"2,576","3,641",21,85,106,0,0,0,0,0,0,15,32,47,1,0,1,0,0,0,0,0,0,0,0,0,0,4,4,65,127,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,922","1,308",20200328,"3,230",567,454,"1,021","1,262",701,"1,963","2,984",59,53,112,0,0,0,0,0,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,97,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,761","1,013",20200329,"2,774",612,343,955,"1,044",475,"1,519","2,474",60,76,136,0,0,0,1,1,2,7,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,110,144,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,959","1,006",20200330,"2,965",306,231,537,"1,430",458,"1,888","2,425",75,87,162,3,0,3,0,0,0,3,1,4,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,140,196,336,0,0,0,0,0,0,0,0,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,799","1,372",20200331,"3,171",328,498,826,"1,409",796,"2,205","3,031",20,30,50,1,0,1,0,0,0,10,9,19,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,30,39,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,588","1,087",20200401,"2,675",378,414,792,987,351,"1,338","2,130",47,63,110,0,2,2,1,1,2,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,247,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,374","1,193",20200402,"2,567",591,444,"1,035",698,430,"1,128","2,163",0,0,0,6,7,13,0,2,2,8,52,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,238,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,019",491,20200403,"1,510",125,4,129,839,455,"1,294","1,423",0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,32,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
629,435,20200404,"1,064",129,176,305,433,223,656,961,27,6,33,1,0,1,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,27,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,121",484,20200405,"1,605",141,22,163,905,347,"1,252","1,415",34,68,102,1,1,2,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,37,46,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
706,739,20200406,"1,445",69,28,97,493,413,906,"1,003",0,0,0,0,0,0,4,6,10,5,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,284,418,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700,688,20200407,"1,388",58,263,321,597,383,980,"1,301",27,0,27,0,1,1,0,0,0,6,19,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
653,781,20200408,"1,434",234,34,268,317,534,851,"1,119",0,0,0,0,1,1,0,0,0,5,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,209,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
681,685,20200409,"1,366",179,325,504,463,240,703,"1,207",0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,38,107,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
867,618,20200410,"1,485",173,118,291,647,438,"1,085","1,376",0,0,0,0,0,0,0,0,0,5,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,35,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
784,519,20200411,"1,303",104,245,349,613,192,805,"1,154",18,6,24,8,8,16,0,0,0,5,31,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,36,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,262",756,20200412,"2,018",136,53,189,"1,028",501,"1,529","1,718",53,100,153,1,1,2,0,2,2,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,95,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
602,872,20200413,"1,474",58,217,275,320,218,538,813,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,431,652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
371,351,20200414,722,0,164,164,353,152,505,669,7,4,11,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
777,"1,139",20200415,"1,916",39,232,271,590,535,"1,125","1,396",0,0,0,0,1,1,0,0,0,5,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,358,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
653,741,20200416,"1,394",164,335,499,422,200,622,"1,121",0,0,0,0,0,0,0,1,1,2,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,194,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
851,381,20200417,"1,232",320,49,369,434,175,609,978,35,79,114,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,75,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
714,420,20200418,"1,134",167,57,224,476,255,731,955,14,4,18,0,0,0,0,0,0,17,13,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,74,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
689,580,20200419,"1,269",121,6,127,501,436,937,"1,064",27,60,87,2,0,2,0,1,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,75,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
968,798,20200420,"1,766",249,20,269,599,297,896,"1,165",0,0,0,0,3,3,0,0,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,469,586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
