通報日,法定傳染病通報,居家檢疫送驗,擴大監測送驗,Total
2020/1/15,0.0,0.0,0.0,0.0
2020/1/16,4.0,0.0,0.0,4.0
2020/1/17,0.0,0.0,0.0,0.0
2020/1/18,1.0,0.0,0.0,1.0
2020/1/19,1.0,0.0,0.0,1.0
2020/1/20,2.0,0.0,0.0,2.0
2020/1/21,12.0,0.0,0.0,12.0
2020/1/22,44.0,0.0,0.0,44.0
2020/1/23,70.0,0.0,0.0,70.0
2020/1/24,57.0,0.0,0.0,57.0
2020/1/25,91.0,0.0,0.0,91.0
2020/1/26,117.0,0.0,0.0,117.0
2020/1/27,123.0,0.0,0.0,123.0
2020/1/28,95.0,0.0,0.0,95.0
2020/1/29,106.0,0.0,0.0,106.0
2020/1/30,100.0,0.0,0.0,100.0
2020/1/31,93.0,0.0,0.0,93.0
2020/2/1,87.0,0.0,0.0,87.0
2020/2/2,57.0,7.0,0.0,64.0
2020/2/3,94.0,37.0,0.0,131.0
2020/2/4,76.0,27.0,0.0,103.0
2020/2/5,54.0,103.0,0.0,157.0
2020/2/6,51.0,26.0,0.0,77.0
2020/2/7,63.0,136.0,0.0,199.0
2020/2/8,71.0,154.0,0.0,225.0
2020/2/9,52.0,76.0,0.0,128.0
2020/2/10,94.0,111.0,0.0,205.0
2020/2/11,53.0,115.0,0.0,168.0
2020/2/12,44.0,84.0,0.0,128.0
2020/2/13,37.0,78.0,0.0,115.0
2020/2/14,27.0,45.0,0.0,72.0
2020/2/15,30.0,59.0,0.0,89.0
2020/2/16,30.0,76.0,6.0,112.0
2020/2/17,32.0,166.0,615.0,813.0
2020/2/18,42.0,64.0,726.0,832.0
2020/2/19,31.0,60.0,605.0,696.0
2020/2/20,35.0,39.0,722.0,796.0
2020/2/21,23.0,38.0,653.0,714.0
2020/2/22,33.0,30.0,381.0,444.0
2020/2/23,13.0,32.0,283.0,328.0
2020/2/24,13.0,34.0,651.0,698.0
2020/2/25,12.0,33.0,564.0,609.0
2020/2/26,15.0,21.0,485.0,521.0
2020/2/27,8.0,25.0,487.0,520.0
2020/2/28,11.0,14.0,346.0,371.0
2020/2/29,87.0,10.0,414.0,511.0
2020/3/1,98.0,5.0,327.0,430.0
2020/3/2,162.0,2.0,436.0,600.0
2020/3/3,148.0,0.0,358.0,506.0
2020/3/4,137.0,0.0,348.0,485.0
2020/3/5,83.0,0.0,214.0,297.0
2020/3/6,99.0,0.0,282.0,381.0
2020/3/7,75.0,0.0,232.0,307.0
2020/3/8,51.0,0.0,247.0,298.0
2020/3/9,98.0,0.0,378.0,476.0
2020/3/10,84.0,0.0,248.0,332.0
2020/3/11,81.0,0.0,364.0,445.0
2020/3/12,63.0,0.0,614.0,677.0
2020/3/13,94.0,0.0,345.0,439.0
2020/3/14,78.0,0.0,301.0,379.0
2020/3/15,65.0,0.0,241.0,306.0
2020/3/16,145.0,0.0,585.0,730.0
2020/3/17,178.0,0.0,695.0,873.0
2020/3/18,267.0,0.0,930.0,1197.0
2020/3/19,350.0,0.0,1013.0,1363.0
2020/3/20,447.0,0.0,924.0,1371.0
2020/3/21,371.0,0.0,676.0,1047.0
2020/3/22,266.0,0.0,545.0,811.0
2020/3/23,446.0,0.0,693.0,1139.0
2020/3/24,382.0,0.0,542.0,924.0
2020/3/25,363.0,0.0,575.0,938.0
2020/3/26,330.0,0.0,599.0,929.0
2020/3/27,358.0,0.0,506.0,864.0
2020/3/28,220.0,0.0,307.0,527.0
2020/3/29,245.0,0.0,590.0,835.0
2020/3/30,367.0,0.0,656.0,1023.0
2020/3/31,371.0,0.0,553.0,924.0
2020/4/1,400.0,0.0,609.0,1009.0
2020/4/2,269.0,0.0,553.0,822.0
2020/4/3,296.0,0.0,584.0,880.0
2020/4/4,295.0,0.0,569.0,864.0
2020/4/5,274.0,0.0,638.0,912.0
2020/4/6,427.0,0.0,1387.0,1814.0
2020/4/7,335.0,0.0,1350.0,1685.0
2020/4/8,272.0,0.0,1356.0,1628.0
2020/4/9,260.0,0.0,1316.0,1576.0
2020/4/10,250.0,0.0,1314.0,1564.0
2020/4/11,168.0,0.0,923.0,1091.0
2020/4/12,99.0,0.0,565.0,664.0
2020/4/13,225.0,0.0,1115.0,1340.0
2020/4/14,182.0,0.0,1022.0,1204.0
2020/4/15,150.0,0.0,802.0,952.0
2020/4/16,149.0,0.0,754.0,903.0
2020/4/17,126.0,0.0,712.0,838.0
2020/4/18,97.0,0.0,460.0,557.0
2020/4/19,127.0,0.0,497.0,624.0
2020/4/20,197.0,0.0,1638.0,1835.0
2020/4/21,159.0,0.0,1212.0,1371.0
2020/4/22,118.0,0.0,1036.0,1154.0
2020/4/23,124.0,0.0,890.0,1014.0
2020/4/24,97.0,0.0,730.0,827.0
2020/4/25,77.0,0.0,542.0,619.0
2020/4/26,71.0,0.0,424.0,495.0
2020/4/27,75.0,0.0,665.0,740.0
2020/4/28,98.0,0.0,596.0,694.0
2020/4/29,72.0,0.0,412.0,484.0
2020/4/30,53.0,0.0,442.0,495.0
2020/5/1,49.0,0.0,325.0,374.0
2020/5/2,46.0,0.0,334.0,380.0
2020/5/3,51.0,0.0,291.0,342.0
2020/5/4,82.0,0.0,445.0,527.0
2020/5/5,73.0,0.0,559.0,632.0
2020/5/6,68.0,0.0,383.0,451.0
2020/5/7,58.0,0.0,359.0,417.0
2020/5/8,50.0,0.0,352.0,402.0
2020/5/9,40.0,0.0,229.0,269.0
2020/5/10,44.0,0.0,223.0,267.0
2020/5/11,58.0,0.0,304.0,362.0
2020/5/12,42.0,0.0,307.0,349.0
